ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
약학	j a̠ kʰ a̠ k̚	야칵
약혼	j a̠ kʰ o̞ n	야콘
양곤	j a̠ ŋ ɡ o̞ n	양곤
양국	j a̠ ŋ ɡ u k̚	양국
양귀비	j a̠ ŋ ɡ ɥ i b i	양귀비
양귀자	j a̠ ŋ ɡ ɥ i d͡ʑ a̠	양귀자
양념	j a̠ ŋ ɲ j ʌ̹ m	양념
양다리	j a̠ ŋ d a̠ ɾ i	양다리
양동이	j a̠ ŋ d o̞ ŋ i	양도이
양력	j a̠ ŋ ɲ j ʌ̹ k̚	양녁
양말	j a̠ ŋ m a̠ ɭ	양말
양면	j a̠ ŋ m j ʌ̹ n	양면
양반	j a̠ ŋ b a̠ n	양반
양복	j a̠ ŋ b o̞ k̚	양복
양봉	j a̠ː ŋ b o̞ ŋ	양봉
양상	j a̠ ŋ sʰ a̠ ŋ	양상
양성자	j a̠ ŋ sʰ ʌ̹ ŋ d͡ʑ a̠	양성자
양수사	j a̠ ŋ sʰ u sʰ a̠	양수사
양식	j a̠ ŋ ɕʰ i k̚	양식
양심	j a̠ ŋ ɕʰ i m	양심
양유	j a̠ ŋ j u	야유
양조장	j a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠ ŋ	양조장
양주	j a̠ ŋ d͡ʑ u	양주
양즈	j a̠ ŋ d͡ʑ ɯ	양즈
양쪽	j a̠ː ŋ t͡ɕ͈ o̞ k̚	양쪽
양초	j a̠ ŋ t͡ɕʰ o̞	양초
양파	j a̠ ŋ pʰ a̠	양파
양피지	j a̠ ŋ pʰ i d͡ʑ i	양피지
얕다	j a̠ t̚ t͈ a̠	얃따
얘기	j ɛː ɡ i	jㅐ기
어간	ɘː ɡ a̠ n	어간
어감	ɘː ɡ a̠ m	어감
어구	ɘː ɡ u	어구
어그러지다	ʌ̹ ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠	어그러지다
어근	ɘː ɡ ɯ n	어근
어금니	ʌ̹ ɡ ɯ m n i	어금니
어긋나다	ʌ̹ ɡ ɯ n n a̠ d a̠	어근나다
어느	ʌ̹ n ɯ	어느
어둡다	ʌ̹ d u p̚ t͈ a̠	어둡따
어드벤처	ʌ̹ d ɯ b e̞ ɲ t͡ɕʰ ʌ̹	어드벤처
어디	ʌ̹ d i	어디
어딘가	ʌ̹ d i n ɡ a̠	어딘가
어떡하다	ʌ̹ t͈ ʌ̹ kʰ a̠ d a̠	어떠카다
어떻게	ʌ̹ t͈ ʌ̹ kʰ e̞	어떠케
어떻다	ʌ̹ t͈ ʌ̹ tʰ a̠	어떠타
어란	ʌ̹ ɾ a̠ n	어란
어려움	ʌ̹ ɾ j ʌ̹ u m	어려움
어렴풋이	ʌ̹ ɾ j ʌ̹ m pʰ u ɕʰ i	어렴푸시
어렵다	ʌ̹ ɾ j ʌ̹ p̚ t͈ a̠	어렵따
어뢰	ʌ̹ ɾ w e̞	어뢰
어름치	ʌ̹ ɾ ɯ m t͡ɕʰ i	어름치
어리다	ʌ̹ ɾ i d a̠	어리다
어리석다	ʌ̹ ɾ i sʰ ʌ̹ k̚ t͈ a̠	어리석따
어린아이	ʌ̹ ɾ i n a̠ i	어리나이
어린이	ʌ̹ ɾ i n i	어리니
어린이집	ʌ̹ ɾ i n i d͡ʑ i p̚	어리니집
어머	ʌ̹ m ʌ̹	어머
어머나	ɘː m ʌ̹ n a̠	어머나
어머니	ʌ̹ m ʌ̹ n i	어머니
어머님	ʌ̹ m ʌ̹ n i m	어머님
어묵	ʌ̹ m u k̚	어묵
어버이	ʌ̹ b ʌ̹ i	어버이
어부	ʌ̹ b u	어부
어서	ʌ̹ sʰ ʌ̹	어서
어여머리	ʌ̹ j ʌ̹ m ʌ̹ ɾ i	어여머리
어요	ʌ̹ j o	어요
어울리다	ʌ̹ u ʎ ʎ i d a̠	어울리다
어원	ɘː w ʌ̹ n	어원
어이	ʌ̹ i	어이
어장관리	ʌ̹ d͡ʑ a̠ ŋ ɡ w a̠ ʎ ʎ i	어장괄리
어제	ʌ̹ d͡ʑ e̞	어제
어젯밤	ʌ̹ d͡ʑ e̞ t̚ p͈ a̠ m	어젣빰
어족	ɘː d͡ʑ o̞ k̚	어족
어줍잖다	ʌ̹ d͡ʑ u p̚ t͡ɕ͈ a̠ n tʰ a̠	어줍짠타
어즈버	ʌ̹ d͡ʑ ɯ b ʌ̹	어즈버
어지럽다	ʌ̹ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠	어지럽따
어쩌다	ʌ̹ t͡ɕ͈ ʌ̹ d a̠	어쩌다
어쩌면	ʌ̹ t͡ɕ͈ ʌ̹ m j ʌ̹ n	어쩌면
어쭙잖다	ʌ̹ t͡ɕ͈ u p̚ t͡ɕ͈ a̠ n tʰ a̠	어쭙짠타
어차피	ʌ̹ t͡ɕʰ a̠ pʰ i	어차피
어치	ʌ̹ t͡ɕʰ i	어치
어형	ʌ̹ ʝ j ʌ̹ ŋ	어형
어휘소	ʌ̹ ɦ ɥ i sʰ o̞	어휘소
어휘장	ɘː ɦ ɥ i d͡ʑ a̠ ŋ	어휘장
억류	ʌ̹ ŋ ɲ j u	엉뉴
억수	ʌ̹ k s͈ u	억쑤
억압	ʌ̹ ɡ a̠ p̚	어갑
억울하다	ʌ̹ ɡ u ɾ ɦ a̠ d a̠	어굴하다
억지	ʌ̹ k̚ t͡ɕ͈ i	억찌
언간	ʌ̹ n ɡ a̠ n	언간
언니	ʌ̹ n n i	언니
언덕	ʌ̹ n d ʌ̹ k̚	언덕
언론학	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚	얼론학
언론학자	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚ t͡ɕ͈ a̠	얼론학짜
언문	ɘː n m u n	언문
언어	ʌ̹ n ʌ̹	어너
언어학	ʌ̹ n ʌ̹ ɦ a̠ k̚	어너학
언제	ɘː ɲ d͡ʑ e̞	언제
언제나	ɘː ɲ d͡ʑ e̞ n a̠	언제나
언젠가	ɘː ɲ d͡ʑ e̞ n ɡ a̠	언젠가
얼룩말	ʌ̹ ɭ ɭ u ŋ m a̠ ɭ	얼룽말
얼른	ʌ̹ ɭ ɭ ɯ n	얼른
얼리다	ʌ̹ ʎ ʎ i d a̠	얼리다
얼마나	ʌ̹ ɭ m a̠ n a̠	얼마나
얼쑤	ʌ̹ ɭ s͈ u	얼쑤
얼어붙다	ʌ̹ ɾ ʌ̹ b u t̚ t͈ a̠	어러붇따
얼음과자	ʌ̹ ɾ ɯ m ɡ w a̠ d͡ʑ a̠	어름과자
얼짱	ʌ̹ ʎ t͡ɕ͈ a̠ ŋ	얼짱
얼핏	ʌ̹ ɭ pʰ i t̚	얼핃
엄격	ʌ̹ m k͈ j ʌ̹ k̚	엄껵
엄격하다	ʌ̹ m k͈ j ʌ̹ kʰ a̠ d a̠	엄껴카다
엄니	ɘː m n i	엄니
엄마	ʌ̹ m m a̠	엄마
엄습	ɘː m sʰ ɯ p̚	엄습
엄습하다	ɘː m sʰ ɯ pʰ a̠ d a̠	엄스파다
엄지	ʌ̹ m d͡ʑ i	엄지
엄지손가락	ʌ̹ m d͡ʑ i sʰ o̞ n ɡ a̠ ɾ a̠ k̚	엄지손가락
엄청	ʌ̹ m t͡ɕʰ ʌ̹ ŋ	엄청
엄청나다	ʌ̹ m t͡ɕʰ ʌ̹ ŋ n a̠ d a̠	엄청나다
업그레이드	ʌ̹ p̚ k͈ ɯ ɾ e̞ i d ɯ	업끄레이드
업다	ʌ̹ p̚ t͈ a̠	업따
업동이	ʌ̹ p̚ t͈ o̞ ŋ i	업또이
업소	ʌ̹ p s͈ o̞	업쏘
업종	ʌ̹ p̚ t͡ɕ͈ o̞ ŋ	업쫑
없어지다	ɘː p s͈ ʌ̹ d͡ʑ i d a̠	업써지다
없었다	ʌ̹ p s͈ ʌ̹ t̚ t͈ a̠	업썯따
없이	ɘː p ɕ͈ i	업씨
엇비슷하다	ʌ̹ t̚ p͈ i sʰ ɯ tʰ a̠ d a̠	얻삐스타다
엉겁결에	ʌ̹ ŋ ɡ ʌ̹ p̚ k͈ j ʌ̹ ɾ e̞	엉겁껴레
엉뚱하다	ʌ̹ ŋ t͈ u ŋ ɦ a̠ d a̠	엉뚱하다
엉망진창	ʌ̹ ŋ m a̠ ŋ d͡ʑ i ɲ t͡ɕʰ a̠ ŋ	엉망진창
엉엉	ʌ̹ ŋ ʌ̹ ŋ	어엉
엉큼하다	ʌ̹ ŋ k x ɯ m ɦ a̠ d a̠	엉ㄱ흠하다
엊그제	ʌ̹ t̚ k͈ ɯ d͡ʑ e̞	얻끄제
에게	e̞ ɡ e̞	에게
에너지	e̞ n ʌ̹ d͡ʑ i	에너지
에네르기	e̞ n e̞ ɾ ɯ ɡ i	에네르기
에는	e̞ n ɯ n	에는
에러	e̞ ɾ ʌ̹	에러
에리트레아	e̞ ɾ i tʰ ɯ ɾ e̞ a̠	에리트레아
에멜무지로	e̞ m e̞ ɭ m u d͡ʑ i ɾ o̞	에멜무지로
에뮤	e̞ m j u	에뮤
에미리트	e̞ m i ɾ i tʰ ɯ	에미리트
에스컬레이터	e̞ sʰ ɯ kʰ ʌ̹ ɭ ɭ e̞ i tʰ ʌ̹	에스컬레이터
에스터	e̞ sʰ ɯ tʰ ʌ̹	에스터
에스토니아	e̞ sʰ ɯ tʰ o̞ n i a̠	에스토니아
에스토니아어	e̞ sʰ ɯ tʰ o̞ n i a̠ ʌ̹	에스토니아어
에스파냐	e̞ sʰ ɯ pʰ a̠ ɲ j a̠	에스파냐
에어컨	e̞ ʌ̹ kʰ ʌ̹ n	에어컨
에어컨디셔너	e̞ ʌ̹ kʰ ʌ̹ n d i ɕʰ ʌ̹ n ʌ̹	에어컨디서너
에이즈	e̞ i d͡ʑ ɯ	에이즈
에잇	e̞ i t̚	에읻
에콰도르	e̞ kʰ w a̠ d o̞ ɾ ɯ	에콰도르
에탄	e̞ tʰ a̠ n	에탄
에터	e̞ tʰ ʌ̹	에터
에테르	e̞ tʰ e̞ ɾ ɯ	에테르
에티오피아	e̞ tʰ i o̞ pʰ i a̠	에티오피아
에티켓	e̞ tʰ i kʰ e̞ t̚	에티켇
에피소드	e̞ pʰ i sʰ o̞ d ɯ	에피소드
엔진	e̞ ɲ d͡ʑ i n	엔진
엘리베이터	e̞ ʎ ʎ i b e̞ i tʰ ʌ̹	엘리베이터
엘리트	e̞ ʎ ʎ i tʰ ɯ	엘리트
엘살바도르	e̞ ɭ sʰ a̠ ɭ b a̠ d o̞ ɾ ɯ	엘살바도르
엥가노쥐	e̞ ŋ ɡ a̠ n o̞ d͡ʑ ɥ i	엥가노쥐
여가	j ʌ̹ ɡ a̠	여가
여건	j ɘː k͈ ʌ̹ n	여껀
여겨지다	j ʌ̹ ɡ j ʌ̹ d͡ʑ i d a̠	여겨지다
여과	j ɘː ɡ w a̠	여과
여과기	j ɘː ɡ w a̠ ɡ i	여과기
여관	j ʌ̹ ɡ w a̠ n	여관
여권	j ʌ̹ k͈ w ʌ̹ n	여꿘
여기	j ʌ̹ ɡ i	여기
여기다	j ʌ̹ ɡ i d a̠	여기다
여기저기	j ʌ̹ ɡ i d͡ʑ ʌ̹ ɡ i	여기저기
여뀌	j ʌ̹ k͈ ɥ i	여뀌
여남은	j ʌ̹ n a̠ m ɯ n	여나믄
여당	j ɘː d a̠ ŋ	여당
여덟	j ʌ̹ d ʌ̹ ɭ	여덜
여돌	j ʌ̹ d o̞ ɭ	여돌
여드레	j ʌ̹ d ɯ ɾ e̞	여드레
여든	j ʌ̹ d ɯ n	여든
여러분	j ʌ̹ ɾ ʌ̹ b u n	여러분
여럿	j ʌ̹ ɾ ʌ̹ t̚	여럳
여론	j ɘː ɾ o̞ n	여론
여름	j ʌ̹ ɾ ɯ m	여름
여보	j ʌ̹ b o̞	여보
여보세요	j ʌ̹ b o̞ sʰ e̞ j o	여보세요
여섯	j ʌ̹ sʰ ʌ̹ t̚	여섣
여성	j ʌ̹ sʰ ʌ̹ ŋ	여성
여성주의	j ʌ̹ sʰ ʌ̹ ŋ d͡ʑ u ɰ i	여성주의
여신	j ʌ̹ ɕʰ i n	여신
여와	j ʌ̹ w a̠	여와
여왕	j ʌ̹ w a̠ ŋ	여왕
여우비	j ʌ̹ u b i	여우비
여인	j ʌ̹ i n	여인
여자	j ʌ̹ d͡ʑ a̠	여자
여자아이	j ʌ̹ d͡ʑ a̠ a̠ i	여자아이
여자친구	j ʌ̹ d͡ʑ a̠ t͡ɕʰ i n ɡ u	여자친구
여장	j ʌ̹ d͡ʑ a̠ ŋ	여장
여전하다	j ʌ̹ d͡ʑ ʌ̹ n ɦ a̠ d a̠	여전하다
여정	j ʌ̹ d͡ʑ ʌ̹ ŋ	여정
여제	j ʌ̹ d͡ʑ e̞	여제
여진	j ʌ̹ d͡ʑ i n	여진
여쭈다	j ɘː t͡ɕ͈ u d a̠	여쭈다
여체	j ʌ̹ t͡ɕʰ e̞	여체
여초	j ʌ̹ t͡ɕʰ o̞	여초
여하	j ʌ̹ ɦ a̠	여하
역겹다	j ʌ̹ k̚ k͈ j ʌ̹ p̚ t͈ a̠	역꼅따
역경	j ʌ̹ k̚ k͈ j ʌ̹ ŋ	역꼉
역사	j ʌ̹ k s͈ a̠	역싸
역사가	j ʌ̹ k s͈ a̠ ɡ a̠	역싸가
역시	j ʌ̹ k ɕ͈ i	역씨
역학	j ʌ̹ kʰ a̠ k̚	여칵
연가	j ɘː n ɡ a̠	연가
연간	j ʌ̹ n ɡ a̠ n	연간
연감	j ʌ̹ n ɡ a̠ m	연감
연결	j ʌ̹ n ɡ j ʌ̹ ɭ	연결
연결되다	j ʌ̹ n ɡ j ʌ̹ ɭ d w e̞ d a̠	연결되다
연결하다	j ʌ̹ n ɡ j ʌ̹ ɾ ɦ a̠ d a̠	연결하다
연고	j ɘː n ɡ o̞	연고
연구	j ɘː n ɡ u	연구
연구되다	j ʌ̹ n ɡ u d w e̞ d a̠	연구되다
연구소	j ʌ̹ n ɡ u sʰ o̞	연구소
연구실	j ʌ̹ n ɡ u ɕʰ i ɭ	연구실
연구자	j ɘː n ɡ u d͡ʑ a̠	연구자
연극	j ɘː n ɡ ɯ k̚	연극
연근	j ʌ̹ n ɡ ɯ n	연근
연금	j ʌ̹ n ɡ ɯ m	연금
연기자	j ɘː n ɡ i d͡ʑ a̠	연기자
연꽃	j ʌ̹ n k͈ o̞ t̚	연꼳
연락처	j ʌ̹ ɭ ɭ a̠ k̚ t͡ɕʰ ʌ̹	열락처
연령	j ʌ̹ ʎ ʎ j ʌ̹ ŋ	열령
연말	j ʌ̹ n m a̠ ɭ	연말
연못	j ʌ̹ n m o̞ t̚	연몯
연방	j ʌ̹ n b a̠ ŋ	연방
연설	j ɘː n sʰ ʌ̹ ɭ	연설
연설자	j ɘː n sʰ ʌ̹ ʎ t͡ɕ͈ a̠	연설짜
연세	j ʌ̹ n sʰ e̞	연세
연속	j ʌ̹ n sʰ o̞ k̚	연속
연속극	j ʌ̹ n sʰ o̞ k̚ k͈ ɯ k̚	연속끅
연습	j ɘː n sʰ ɯ p̚	연습
연습하다	j ɘː n sʰ ɯ pʰ a̠ d a̠	연스파다
연안	j ʌ̹ n a̠ n	여난
연어	j ʌ̹ n ʌ̹	여너
연옥	j ɘː n o̞ k̚	여녹
연월일	j ʌ̹ n w ʌ̹ ɾ i ɭ	여눠릴
연장	j ʌ̹ ɲ d͡ʑ a̠ ŋ	연장
연적	j ɘː ɲ d͡ʑ ʌ̹ k̚	연적
연주	j ɘː ɲ d͡ʑ u	연주
연주하다	j ɘː ɲ d͡ʑ u ɦ a̠ d a̠	연주하다
연초	j ʌ̹ ɲ t͡ɕʰ o̞	연초
연필	j ʌ̹ n pʰ i ɭ	연필
연필깎이	j ʌ̹ n pʰ i ɭ k͈ a̠ k͈ i	연필까끼
연하다	j ɘː n ɦ a̠ d a̠	연하다
연합	j ʌ̹ n ɦ a̠ p̚	연합
연혁	j ɘː n ʝ j ʌ̹ k̚	연혁
연휴	j ʌ̹ n ʝ j u	연휴
엳아홉	j ʌ̹ d a̠ β o̞ p̚	여다홉
열다	j ɘː ɭ d a̠	열다
열다섯	j ʌ̹ ɭ t͈ a̠ sʰ ʌ̹ t̚	열따섣
열도	j ʌ̹ ɭ t͈ o̞	열또
열동갈문절	j ʌ̹ ɭ t͈ o̞ ŋ ɡ a̠ ɭ m u ɲ d͡ʑ ʌ̹ ɭ	열똥갈문절
열둘	j ʌ̹ ɭ t͈ u ɭ	열뚤
열등	j ʌ̹ ɭ d ɯ ŋ	열등
열등감	j ʌ̹ ɭ t͈ ɯ ŋ ɡ a̠ m	열뜽감
열량	j ʌ̹ ʎ ʎ j a̠ ŋ	열량
열리다	j ʌ̹ ʎ ʎ i d a̠	열리다
열반	j ʌ̹ ɭ b a̠ n	열반
열방	j ʌ̹ ɭ b a̠ ŋ	열방
열셋	j ʌ̹ ɭ s͈ e̞ t̚	열쎋
열쇠	j ɘː ɭ s͈ w e̞	열쐬
열심히	j ʌ̹ ɭ ɕ͈ i m ʝ i	열씸히
열아홉	j ʌ̹ ɾ a̠ β o̞ p̚	여라홉
열여덟	j ʌ̹ ʎ ʎ j ʌ̹ d ʌ̹ ɭ	열려덜
열여섯	j ʌ̹ ʎ ʎ j ʌ̹ sʰ ʌ̹ t̚	열려섣
열역학	j ʌ̹ ʎ ʎ j ʌ̹ kʰ a̠ k̚	열려칵
열일곱	j ʌ̹ ʎ ʎ i ɭ ɡ o̞ p̚	열릴곱
열정	j ʌ̹ ʎ d͡ʑ ʌ̹ ŋ	열정
열차	j ʌ̹ ʎ t͡ɕʰ a̠	열차
열화학	j ʌ̹ ɾ β w a̠ ɦ a̠ k̚	열화학
열흘	j ʌ̹ ɾ ɣ ɯ ɭ	열ɣㅡㄹ
염기	j ʌ̹ m ɡ i	염기
염료	j ɘː m ɲ j o	염뇨
염복	j ɘː m b o̞ k̚	염복
염세주의	j ɘː m sʰ e̞ d͡ʑ u ɰ i	염세주의
염소	j ʌ̹ m sʰ o̞	염소
염장	j ʌ̹ m d͡ʑ a̠ ŋ	염장
염주	j ɘː m d͡ʑ u	염주
염증	j ʌ̹ m t͡ɕ͈ ɯ ŋ	염쯩
염통	j ʌ̹ m tʰ o̞ ŋ	염통
엿기름	j ʌ̹ t̚ k͈ i ɾ ɯ m	엳끼름
엿보다	j ɘː t̚ p͈ o̞ d a̠	엳뽀다
영광	j ʌ̹ ŋ ɡ w a̠ ŋ	영광
영광스럽다	j ʌ̹ ŋ ɡ w a̠ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠	영광스럽따
영구	j ɘː ŋ ɡ u	영구
영국	j ʌ̹ ŋ ɡ u k̚	영국
영국인	j ʌ̹ ŋ ɡ u ɡ i n	영구긴
영도자	j ʌ̹ ŋ d o̞ d͡ʑ a̠	영도자
영리하다	j ɘː ŋ n i ɦ a̠ d a̠	영니하다
영묘	j ʌ̹ ŋ m j o	영묘
영문	j ʌ̹ ŋ m u n	영문
영미권	j ʌ̹ ŋ m i k͈ w ʌ̹ n	영미꿘
영본	j ʌ̹ ŋ b o̞ n	영본
영사	j ʌ̹ ŋ sʰ a̠	영사
영사관	j ʌ̹ ŋ sʰ a̠ ɡ w a̠ n	영사관
영성	j ʌ̹ ŋ sʰ ʌ̹ ŋ	영성
영성체	j ɘː ŋ sʰ ʌ̹ ŋ t͡ɕʰ e̞	영성체
영수증	j ʌ̹ ŋ sʰ u d͡ʑ ɯ ŋ	영수증
영양	j ʌ̹ ŋ j a̠ ŋ	여양
영양실조	j ʌ̹ ŋ j a̠ ŋ ɕʰ i ʎ d͡ʑ o̞	여양실조
영양제	j ʌ̹ ŋ j a̠ ŋ d͡ʑ e̞	여양제
영어	j ʌ̹ ŋ ʌ̹	여어
영업	j ʌ̹ ŋ ʌ̹ p̚	여업
영역	j ʌ̹ ŋ j ʌ̹ k̚	여역
영예	j ʌ̹ ŋ j e̞	여예
영웅	j ʌ̹ ŋ u ŋ	여웅
영원히	j ɘː ŋ w ʌ̹ n ʝ i	여원히
영적	j ʌ̹ ŋ t͡ɕ͈ ʌ̹ k̚	영쩍
영지	j ʌ̹ ŋ d͡ʑ i	영지
영춘권	j ɘː ŋ t͡ɕʰ u n ɡ w ʌ̹ n	영춘권
영토	j ʌ̹ ŋ tʰ o̞	영토
영하	j ʌ̹ ŋ ɦ a̠	영하
영향	j ɘː ŋ ʝ j a̠ ŋ	영향
영향력	j ɘː ŋ ʝ j a̠ ŋ ɲ j ʌ̹ k̚	영향녁
영혼	j ʌ̹ ŋ β o̞ n	영혼
영화관	j ʌ̹ ŋ β w a̠ ɡ w a̠ n	영화관
옅다	j ʌ̹ t̚ t͈ a̠	엳따
옆얼굴	j ʌ̹ b ʌ̹ ɭ ɡ u ɭ	여벌굴
옆집	j ʌ̹ p̚ t͡ɕ͈ i p̚	엽찝
예감	j e̞ː ɡ a̠ m	예감
예능	j e̞ː n ɯ ŋ	예능
예니레	j e̞ n i ɾ e̞	예니레
예닐곱	j e̞ n i ɭ ɡ o̞ p̚	예닐곱
예다	j e̞ː d a̠	예다
예레반	j e̞ ɾ e̞ b a̠ n	예레반
예멘	j e̞ m e̞ n	예멘
예명	j e̞ m j ʌ̹ ŋ	예명
예문	j e̞ː m u n	예문
예물	j e̞ m u ɭ	예물
예방	j e̞ː b a̠ ŋ	예방
예산	j e̞ː sʰ a̠ n	예산
예수	j e̞ sʰ u	예수
예수회	j e̞ sʰ u β w e̞	예수회
예순	j e̞ sʰ u n	예순
예술가	j e̞ː sʰ u ɭ ɡ a̠	예술가
예식	j e̞ ɕʰ i k̚	예식
예약하다	j e̞ː j a̠ kʰ a̠ d a̠	예야카다
예언	j e̞ː ʌ̹ n	예언
예언자	j e̞ː ʌ̹ ɲ d͡ʑ a̠	예언자
예외	j e̞ː w e̞	예외
예의	j e̞ ɰ i	예의
예일	j e̞ i ɭ	예일
예절	j e̞ d͡ʑ ʌ̹ ɭ	예절
예정	j e̞ː d͡ʑ ʌ̹ ŋ	예정
예카테린부르크	j e̞ kʰ a̠ tʰ e̞ ɾ i n b u ɾ ɯ k x ɯ	예카테린부륵흐
예후	j e̞ː β u	예후
옛날	j e̞ː n n a̠ ɭ	옌날
옛말	j e̞ː n m a̠ ɭ	옌말
옛적	j e̞ː t̚ t͡ɕ͈ ʌ̹ k̚	옏쩍
오글오글	o̞ ɡ ɯ ɾ o̞ ɡ ɯ ɭ	오그로글
오금	o̞ ɡ ɯ m	오금
오누이	o̞ n u i	오누이
오늘	o̞ n ɯ ɭ	오늘
오다	o̞ d a̠	오다
오답	o̞ː d a̠ p̚	오답
오데사	o̞ d e̞ sʰ a̠	오데사
오드콜로뉴	o̞ d ɯ kʰ o̞ ɭ ɭ o̞ ɲ j u	오드콜로뉴
오디	o̞ d i	오디
오라버님	o̞ ɾ a̠ b ʌ̹ n i m	오라버님
오락	o̞ː ɾ a̠ k̚	오락
오락실	o̞ː ɾ a̠ k ɕ͈ i ɭ	오락씰
오랑우탄	o̞ ɾ a̠ ŋ u tʰ a̠ n	오라우탄
오렌지	o̞ ɾ e̞ ɲ d͡ʑ i	오렌지
오로지	o̞ː ɾ o̞ d͡ʑ i	오로지
오롯하다	o̞ ɾ o̞ tʰ a̠ d a̠	오로타다
오류	o̞ː ɾ j u	오류
오르가슴	o̞ ɾ ɯ ɡ a̠ sʰ ɯ m	오르가슴
오르다	o̞ ɾ ɯ d a̠	오르다
오르되브르	o̞ ɾ ɯ d w e̞ b ɯ ɾ ɯ	오르되브르
오른	o̞ ɾ ɯ n	오른
오른손잡이	o̞ ɾ ɯ n sʰ o̞ ɲ d͡ʑ a̠ b i	오른손자비
오리나무	o̞ ɾ i n a̠ m u	오리나무
오리무중	o̞ː ɾ i m u d͡ʑ u ŋ	오리무중
오물	o̞ː m u ɭ	오물
오물오물	o̞ m u ɾ o̞ m u ɭ	오무로물
오므라이스	o̞ m ɯ ɾ a̠ i sʰ ɯ	오므라이스
오믈렛	o̞ m ɯ ɭ ɭ e̞ t̚	오믈렏
오버클럭	o̞ b ʌ̹ k x ɯ ɭ ɭ ʌ̹ k̚	오벅흘럭
오븐	o̞ b ɯ n	오븐
오빠	o̞ p͈ a̠	오빠
오사존	o̞ sʰ a̠ d͡ʑ o̞ n	오사존
오사카	o̞ sʰ a̠ kʰ a̠	오사카
오소리	o̞ sʰ o̞ ɾ i	오소리
오십	o̞ː ɕʰ i p̚	오십
오아시스	o̞ a̠ ɕʰ i sʰ ɯ	오아시스
오염	o̞ː j ʌ̹ m	오염
오염되다	o̞ː j ʌ̹ m d w e̞ d a̠	오염되다
오온	o̞ː o̞ n	오온
오옴	o̞ o̞ m	오옴
오월	o̞ː w ʌ̹ ɭ	오월
오이	o̞ i	오이
오적어	o̞ d͡ʑ ʌ̹ ɡ ʌ̹	오저거
오전	o̞ː d͡ʑ ʌ̹ n	오전
오존	o̞ d͡ʑ o̞ n	오존
오줌	o̞ d͡ʑ u m	오줌
오직	o̞ d͡ʑ i k̚	오직
오징어	o̞ d͡ʑ i ŋ ʌ̹	오지어
오촌	o̞ː t͡ɕʰ o̞ n	오촌
오케스트라	o̞ kʰ e̞ sʰ ɯ tʰ ɯ ɾ a̠	오케스트라
오타	o̞ː tʰ a̠	오타
오타와	o̞ tʰ a̠ w a̠	오타와
오타쿠	o̞ tʰ a̠ kʰ u	오타쿠
오토바이	o̞ tʰ o̞ b a̠ i	오토바이
오트밀	o̞ tʰ ɯ m i ɭ	오트밀
오페라	o̞ pʰ e̞ ɾ a̠	오페라
오페레타	o̞ pʰ e̞ ɾ e̞ tʰ a̠	오페레타
오후	o̞ː β u	오후
오히려	o̞ ʝ i ɾ j ʌ̹	오히려
옥상	o̞ k s͈ a̠ ŋ	옥쌍
옥석	o̞ k s͈ ʌ̹ k̚	옥썩
옥수수	o̞ k s͈ u sʰ u	옥쑤수
옥시토신	o̞ k ɕ͈ i tʰ o̞ ɕʰ i n	옥씨토신
옥중	o̞ k̚ t͡ɕ͈ u ŋ	옥쭝
옥탑	o̞ k̚ tʰ a̠ p̚	옥탑
옥테인	o̞ k̚ tʰ e̞ i n	옥테인
온갖	o̞ː n ɡ a̠ t̚	온갇
온돌	o̞ n d o̞ ɭ	온돌
온라인	o̞ n n a̠ i n	온나인
온몸	o̞ː n m o̞ m	온몸
온수	o̞ n sʰ u	온수
온실	o̞ n ɕʰ i ɭ	온실
온종일	o̞ː ɲ d͡ʑ o̞ ŋ i ɭ	온조일
온천	o̞ ɲ t͡ɕʰ ʌ̹ n	온천
온통	o̞ː n tʰ o̞ ŋ	온통
올겨울	o̞ ɭ k͈ j ʌ̹ u ɭ	올껴울
올라가다	o̞ ɭ ɭ a̠ ɡ a̠ d a̠	올라가다
올려놓다	o̞ ʎ ʎ j ʌ̹ n o̞ tʰ a̠	올려노타
올리고	o̞ ʎ ʎ i ɡ o̞	올리고
올리다	o̞ ʎ ʎ i d a̠	올리다
올리브	o̞ ʎ ʎ i b ɯ	올리브
올림말	o̞ ʎ ʎ i m m a̠ ɭ	올림말
올림픽	o̞ ʎ ʎ i m pʰ i k̚	올림픽
올바르다	o̞ ɭ b a̠ ɾ ɯ d a̠	올바르다
올여름	o̞ ʎ ʎ j ʌ̹ ɾ ɯ m	올려름
올통볼통	o̞ ɭ tʰ o̞ ŋ b o̞ ɭ tʰ o̞ ŋ	올통볼통
옳다	o̞ ɭ tʰ a̠	올타
옳아	o̞ ɾ a̠	오라
옴스크	o̞ m sʰ ɯ k x ɯ	옴슥흐
옷감	o̞ t̚ k͈ a̠ m	옫깜
옷걸이	o̞ t̚ k͈ ʌ̹ ɾ i	옫꺼리
