ᆜ	j ɯ
암페어	a̠ m pʰ e̞ ʌ̹
암표	a̠ː m pʰ j o
암표상	a̠ː m pʰ j o sʰ a̠ ŋ
압	a̠ p̚
압권	a̠ p̚ k͈ w ʌ̹ n
압록자그사니	a̠ m n o̞ k̚ t͡ɕ͈ a̠ ɡ ɯ sʰ a̠ n i
압수	a̠ p s͈ u
압운	a̠ b u n
압제	a̠ p̚ t͡ɕ͈ e̞
앗	a̠ t̚
앗다	a̠ t̚ t͈ a̠
앙	a̠ ŋ
앙까	a̠ ŋ k͈ a̠
앙등	a̠ː ŋ d ɯ ŋ
앞	a̠ p̚
앞당기다	a̠ p̚ t͈ a̠ ŋ ɡ i d a̠
앞두다	a̠ p̚ t͈ u d a̠
앞머리	a̠ m m ʌ̹ ɾ i
앞문	a̠ m m u n
앞장서다	a̠ p̚ t͡ɕ͈ a̠ ŋ sʰ ʌ̹ d a̠
앞치마	a̠ p̚ t͡ɕʰ i m a̠
애	ɛː
애견	ɛː ɡ j ʌ̹ n
애국	ɛː ɡ u k̚
애국가	ɛː ɡ u k̚ k͈ a̠
애기망둑	ɛː ɡ i m a̠ ŋ d u k̚
애동제자	ɛː d o̞ ŋ d͡ʑ e̞ d͡ʑ a̠
애란	ɛː ɾ a̠ n
애묘	ɛː m j o
애무	ɛː m u
애무하다	ɛː m u ɦ a̠ d a̠
애삐리다	e̞ p͈ i ɾ i d a̠
애사심	ɛː sʰ a̠ ɕʰ i m
애완	ɛː w a̠ n
애완견	ɛː w a̠ n ɡ j ʌ̹ n
애완묘	ɛː w a̠ n m j o
애완조	ɛː w a̠ ɲ d͡ʑ o̞
애월하다	ɛː w ʌ̹ ɾ ɦ a̠ d a̠
애조	ɛː d͡ʑ o̞
애증	ɛː d͡ʑ ɯ ŋ
애호자	ɛː β o̞ d͡ʑ a̠
앵기다	ɛː ŋ ɡ i d a̠
야	j a̠ː
야곱	j a̠ ɡ o̞ p̚
야근	j a̠ː ɡ ɯ n
야기하다	j a̠ː ɡ i ɦ a̠ d a̠
야동	j a̠ː d o̞ ŋ
야레	j a̠ ɾ e̞
야릇하다	j a̠ ɾ ɯ tʰ a̠ d a̠
야부리	j a̠ b u ɾ i
야비하다	j a̠ː b i ɦ a̠ d a̠
야설	j a̠ː sʰ ʌ̹ ɭ
야속하다	j a̠ː sʰ o̞ kʰ a̠ d a̠
야수	j a̠ː sʰ u
야옹	j a̠ o̞ ŋ
야외	j a̠ː w e̞
야운데	j a̠ u n d e̞
야자유	j a̠ː d͡ʑ a̠ j u
야자집게	j a̠ d͡ʑ a̠ d͡ʑ i p̚ k͈ e̞
야짤	j a̠ t͡ɕ͈ a̠ ɭ
야차	j a̠ t͡ɕʰ a̠
야쿠츠크	j a̠ kʰ u t͡ɕʰ ɯ k x ɯ
야호	j a̠ː β o̞
야회	j a̠ː β w e̞
약	j a̠ k̚
약속하다	j a̠ k s͈ o̞ kʰ a̠ d a̠
얄궂다	j a̠ ɭ ɡ u t̚ t͈ a̠
얌전하다	j a̠ m d͡ʑ ʌ̹ n ɦ a̠ d a̠
얌차	j a̠ m t͡ɕʰ a̠
양	j a̠ ŋ
양궁	j a̠ ŋ ɡ u ŋ
양봉가	j a̠ː ŋ b o̞ ŋ ɡ a̠
양봉장	j a̠ː ŋ b o̞ ŋ d͡ʑ a̠ ŋ
양산	j a̠ ŋ sʰ a̠ n
양수	j a̠ ŋ sʰ u
양우	j a̠ ŋ u
양자화	j a̠ ŋ d͡ʑ a̠ β w a̠
양지	j a̠ː ŋ d͡ʑ i
양질	j a̠ ŋ d͡ʑ i ɭ
양치	j a̠ ŋ t͡ɕʰ i
양치기	j a̠ ŋ t͡ɕʰ i ɡ i
양탄자	j a̠ ŋ tʰ a̠ ɲ d͡ʑ a̠
양팔	j a̠ː ŋ pʰ a̠ ɭ
양하	j a̠ ŋ ɦ a̠
양혜	j a̠ ŋ ʝ e̞
얕보다	j a̠ t̚ p͈ o̞ d a̠
얕잡다	j a̠ t̚ t͡ɕ͈ a̠ p̚ t͈ a̠
어	ʌ̹
어귀	ʌ̹ ɡ ɥ i
어두워지다	ʌ̹ d u w ʌ̹ d͡ʑ i d a̠
어드메	ʌ̹ d ɯ m e̞
어디여	ʌ̹ d i j ʌ̹
어떠하다	ʌ̹ t͈ ʌ̹ ɦ a̠ d a̠
어룡	ʌ̹ ɾ j o ŋ
어리광	ʌ̹ ɾ i ɡ w a̠ ŋ
어마니	ʌ̹ m a̠ n i
어머이	ʌ̹ m ʌ̹ i
어미	ʌ̹ m i
어벙하다	ʌ̹ b ʌ̹ ŋ ɦ a̠ d a̠
어븀	ʌ̹ b j u m
어사	ʌ̹ sʰ a̠
어야	ʌ̹ j a̠
어업	ʌ̹ ʌ̹ p̚
어엿하다	ʌ̹ j ʌ̹ tʰ a̠ d a̠
어우러지다	ʌ̹ u ɾ ʌ̹ d͡ʑ i d a̠
어우르다	ʌ̹ u ɾ ɯ d a̠
어울림	ʌ̹ u ʎ ʎ i m
어의	ʌ̹ ɰ i
어저귀	ʌ̹ d͡ʑ ʌ̹ ɡ ɥ i
어저께	ʌ̹ d͡ʑ ʌ̹ k͈ e̞
어찌씨	ʌ̹ t͡ɕ͈ i ɕ͈ i
어찌하다	ʌ̹ t͡ɕ͈ i ɦ a̠ d a̠
어청이	ʌ̹ t͡ɕʰ ʌ̹ ŋ i
어케	ʌ̹ kʰ e̞
어플	ʌ̹ pʰ ɯ ɭ
어플리케이션	ʌ̹ pʰ ɯ ʎ ʎ i kʰ e̞ i ɕʰ ʌ̹ n
억	ʌ̹ k̚
억강부약	ʌ̹ k̚ k͈ a̠ ŋ b u j a̠ k̚
억누르다	ʌ̹ ŋ n u ɾ ɯ d a̠
억류자	ʌ̹ ŋ ɲ u d͡ʑ a̠
억수로	ʌ̹ k s͈ u ɾ o̞
억측	ʌ̹ k̚ t͡ɕʰ ɯ k̚
언급하다	ʌ̹ n ɡ ɯ pʰ a̠ d a̠
언닌	ʌ̹ n n i n
언론가	ʌ̹ ɭ ɭ o̞ n ɡ a̠
언론인	ʌ̹ ɭ ɭ o̞ n i n
언제든지	ʌ̹ ɲ d͡ʑ e̞ d ɯ ɲ d͡ʑ i
언짢다	ʌ̹ ɲ t͡ɕ͈ a̠ n tʰ a̠
얹다	ʌ̹ n t͈ a̠
얻다	ʌ̹ t̚ t͈ a̠
얼	ʌ̹ ɭ
얼굴빛	ʌ̹ ɭ ɡ u ɭ p͈ i t̚
얼룩동사리	ʌ̹ ɭ ɭ u k̚ t͈ o̞ ŋ sʰ a̠ ɾ i
얼버무리다	ʌ̹ ɭ b ʌ̹ m u ɾ i d a̠
얼씨구	ʌ̹ ɭ ɕ͈ i ɡ u
얼음꽃	ʌ̹ ɾ ɯ m k͈ o̞ t̚
얼음보숭이	ʌ̹ ɾ ɯ m b o̞ sʰ u ŋ i
얼음차	ʌ̹ ɾ ɯ m t͡ɕʰ a̠
얼핑	ʌ̹ ɭ pʰ i ŋ
얽다	ʌ̹ k̚ t͈ a̠
엄	ʌ̹ m
엄금	ʌ̹ m ɡ ɯ m
엄동	ʌ̹ m d o̞ ŋ
엄두	ʌ̹ m d u
엄친아	ʌ̹ m t͡ɕʰ i n a̠
엄호	ʌ̹ m β o̞
업	ʌ̹ p̚
업둥이	ʌ̹ p̚ t͈ u ŋ i
업진살	ʌ̹ p̚ t͡ɕ͈ i n sʰ a̠ ɭ
엇	ʌ̹ t̚
엇더타	ʌ̹ t̚ t͈ ʌ̹ tʰ a̠
엉	ʌ̹ ŋ
엉거주춤	ʌ̹ ŋ ɡ ʌ̹ d͡ʑ u t͡ɕʰ u m
엎드리다	ʌ̹ p̚ t͈ ɯ ɾ i d a̠
엎지르다	ʌ̹ p̚ t͡ɕ͈ i ɾ ɯ d a̠
에	e̞
에기	e̞ ɡ i
에다	e̞ː d a̠
에드먼턴	e̞ d ɯ m ʌ̹ n tʰ ʌ̹ n
에든버러	e̞ d ɯ n b ʌ̹ ɾ ʌ̹
에르븀	e̞ ɾ ɯ b j u m
에모지	e̞ m o̞ d͡ʑ i
에미나이	e̞ m i n a̠ i
에바	e̞ b a̠
에스빠냐	e̞ sʰ ɯ p͈ a̠ ɲ a̠
에스체트	e̞ sʰ ɯ t͡ɕʰ e̞ tʰ ɯ
에스테르	e̞ sʰ ɯ tʰ e̞ ɾ ɯ
에스페란토	e̞ sʰ ɯ pʰ e̞ ɾ a̠ n tʰ o̞
에어쿠션	e̞ ʌ̹ kʰ u ɕʰ ʌ̹ n
에우다	e̞ u d a̠
에취	e̞ t͡ɕʰ ɥ i
에테인	e̞ tʰ e̞ i n
엔	e̞ n
엔나	e̞ n n a̠
엔조이	e̞ ɲ d͡ʑ o̞ i
엔지니어링	e̞ ɲ d͡ʑ i n i ʌ̹ ɾ i ŋ
엘니노	e̞ ʎ ʎ i n o̞
엘리자베스	e̞ ʎ ʎ i d͡ʑ a̠ b e̞ sʰ ɯ
엘베	e̞ ɭ b e̞
여	j ʌ̹
여념	j ʌ̹ ɲ ʌ̹ m
여린히읗	j ʌ̹ ɾ i n ʝ i ɯ t̚
여사친	j ʌ̹ sʰ a̠ t͡ɕʰ i n
여성스럽다	j ʌ̹ sʰ ʌ̹ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
여성운동가	j ʌ̹ sʰ ʌ̹ ŋ u n d o̞ ŋ ɡ a̠
여성주의자	j ʌ̹ sʰ ʌ̹ ŋ d͡ʑ u ɰ i d͡ʑ a̠
여여	j ʌ̹ j ʌ̹
여여하다	j ʌ̹ j ʌ̹ ɦ a̠ d a̠
여우원숭이	j ʌ̹ u w ʌ̹ n sʰ u ŋ i
여울마자	j ʌ̹ u ɭ m a̠ d͡ʑ a̠
여위다	j ʌ̹ ɥ i d a̠
여의다	j ʌ̹ ɰ i d a̠
여의자	j ʌ̹ ɰ i d͡ʑ a̠
여인숙	j ʌ̹ i n sʰ u k̚
여지	j ʌ̹ d͡ʑ i
여차저차	j ʌ̹ t͡ɕʰ a̠ d͡ʑ ʌ̹ t͡ɕʰ a̠
여포	j ʌ̹ pʰ o̞
여호와	j ʌ̹ β o̞ w a̠
역	j ʌ̹ k̚
역력	j ʌ̹ ŋ ɲ ʌ̹ k̚
역력하다	j ʌ̹ ŋ ɲ ʌ̹ kʰ a̠ d a̠
역원	j ʌ̹ ɡ w ʌ̹ n
역정	j ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ
엮다	j ʌ̹ k̚ t͈ a̠
연	j ʌ̹ n
연관공	j ʌ̹ n ɡ w a̠ n ɡ o̞ ŋ
연기	j ʌ̹ n ɡ i
연길	j ʌ̹ n ɡ i ɭ
연달다	j ʌ̹ n d a̠ ɭ d a̠
연락선	j ʌ̹ ɭ ɭ a̠ k s͈ ʌ̹ n
연락하다	j ʌ̹ ɭ ɭ a̠ kʰ a̠ d a̠
연립	j ʌ̹ ʎ ʎ i p̚
연민	j ʌ̹ n m i n
연뿌리	j ʌ̹ n p͈ u ɾ i
연석	j ʌ̹ n sʰ ʌ̹ k̚
연소	j ʌ̹ n sʰ o̞
연와	j ʌ̹ n w a̠
연와탕	j ʌ̹ n w a̠ tʰ a̠ ŋ
연잇다	j ʌ̹ n i t̚ t͈ a̠
연준모치	j ʌ̹ ɲ d͡ʑ u n m o̞ t͡ɕʰ i
연중무휴	j ʌ̹ ɲ d͡ʑ u ŋ m u ʝ u
연평도	j ʌ̹ n pʰ j ʌ̹ ŋ d o̞
연호	j ʌ̹ n β o̞
연흔	j ʌ̹ n ɣ ɯ n
열	j ʌ̹ ɭ
열광자	j ʌ̹ ɭ ɡ w a̠ ŋ d͡ʑ a̠
열넷	j ʌ̹ ɭ ɭ e̞ t̚
열람	j ʌ̹ ɭ ɭ a̠ m
열량계	j ʌ̹ ʎ ʎ a̠ ŋ ɡ j e̞
열렬	j ʌ̹ ʎ ʎ ʌ̹ ɭ
열렬하다	j ʌ̹ ʎ ʎ ʌ̹ ɾ ɦ a̠ d a̠
열변	j ʌ̹ ɭ b j ʌ̹ n
열사	j ʌ̹ ɭ sʰ a̠
열쇠글	j ʌ̹ ɭ sʰ w e̞ ɡ ɯ ɭ
열하나	j ʌ̹ ɾ ɦ a̠ n a̠
염	j ʌ̹ m
염라	j ʌ̹ m n a̠
염불	j ʌ̹ m b u ɭ
염주비둘기	j ʌ̹ m d͡ʑ u b i d u ɭ ɡ i
염치	j ʌ̹ m t͡ɕʰ i
엽	j ʌ̹ p̚
엽궐련	j ʌ̹ p̚ k͈ w ʌ̹ ʎ ʎ ʌ̹ n
엽란	j ʌ̹ m n a̠ n
엽록체	j ʌ̹ m n o̞ k̚ t͡ɕʰ e̞
엿	j ʌ̹ t̚
영	j ʌ̹ ŋ
영감	j ʌ̹ ŋ ɡ a̠ m
영검하다	j ʌ̹ ŋ ɡ ʌ̹ m ɦ a̠ d a̠
영동	j ʌ̹ ŋ d o̞ ŋ
영락	j ʌ̹ ŋ n a̠ k̚
영사기	j ʌ̹ ŋ sʰ a̠ ɡ i
영서	j ʌ̹ ŋ sʰ ʌ̹
영양물	j ʌ̹ ŋ j a̠ ŋ m u ɭ
영양탕	j ʌ̹ ŋ j a̠ ŋ tʰ a̠ ŋ
영연방	j ʌ̹ ŋ ɲ ʌ̹ n b a̠ ŋ
영장	j ʌ̹ ŋ t͡ɕ͈ a̠ ŋ
영장류	j ʌ̹ ŋ d͡ʑ a̠ ŋ ɲ u
영포자	j ʌ̹ ŋ pʰ o̞ d͡ʑ a̠
영한	j ʌ̹ ŋ ɦ a̠ n
영험	j ʌ̹ ŋ ɦ ʌ̹ m
영험하다	j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠
옆	j ʌ̹ p̚
예	j e̞
예구	j e̞ː k͈ u
예기	j e̞ ɡ i
예방접종	j e̞ b a̠ ŋ d͡ʑ ʌ̹ p̚ t͡ɕ͈ o̞ ŋ
예보	j e̞ː b o̞
예복	j e̞ b o̞ k̚
예상되다	j e̞ː sʰ a̠ ŋ d w e̞ d a̠
예언하다	j e̞ː ʌ̹ n ɦ a̠ d a̠
예열	j e̞ː j ʌ̹ ɭ
예절바르다	j e̞ d͡ʑ ʌ̹ ɭ b a̠ ɾ ɯ d a̠
예취기	j e̞ t͡ɕʰ ɥ i ɡ i
옐로나이프	j e̞ ɭ ɭ o̞ n a̠ i pʰ ɯ
옛	j e̞ː t̚
옛글	j e̞ t̚ k͈ ɯ ɭ
옛이야기	j e̞ n n i j a̠ ɡ i
옛이응	j e̞ː n n i ɯ ŋ
옛한글	j e̞ː tʰ a̠ n ɡ ɯ ɭ
오	o̞
오곡	o̞ː ɡ o̞ k̚
오곡밥	o̞ ɡ o̞ k̚ p͈ a̠ p̚
오뉴월	o̞ː ɲ u w ʌ̹ ɭ
오늄	o̞ ɲ u m
오늬	o̞ n i
오답하다	o̞ː d a̠ pʰ a̠ d a̠
오덕후	o̞ d ʌ̹ kʰ u
오뎅	o̞ d e̞ ŋ
오두막	o̞ d u m a̠ k̚
오두막집	o̞ d u m a̠ k̚ t͡ɕ͈ i p̚
오드투왈렛	o̞ d ɯ tʰ u w a̠ ɭ ɭ e̞ t̚
오등	o̞ d ɯ ŋ
오라버니	o̞ ɾ a̠ b ʌ̹ n i
오라비	o̞ ɾ a̠ b i
오레건	o̞ ɾ e̞ ɡ ʌ̹ n
오룔	o̞ ɾ j o ɭ
오룬손	o̞ ɾ u n sʰ o̞ n
오륜	o̞ː ɾ j u n
오른손	o̞ ɾ ɯ n sʰ o̞ n
오리건	o̞ ɾ i ɡ ʌ̹ n
오린손	o̞ ɾ i n sʰ o̞ n
오마카세	o̞ m a̠ kʰ a̠ sʰ e̞
오만	o̞ m a̠ n
오만하다	o̞ː m a̠ n ɦ a̠ d a̠
오명가명	o̞ m j ʌ̹ ŋ ɡ a̠ m j ʌ̹ ŋ
오목하다	o̞ m o̞ kʰ a̠ d a̠
오문	o̞ m u n
오바마케어	o̞ b a̠ m a̠ kʰ e̞ ʌ̹
오밤	o̞ː b a̠ m
오보	o̞ː b o̞
오보에	o̞ b o̞ e̞
오블라스티	o̞ b ɯ ɭ ɭ a̠ sʰ ɯ tʰ i
오사까	o̞ sʰ a̠ k͈ a̠
오삼춘	o̞ sʰ a̠ m t͡ɕʰ u n
오솔길	o̞ sʰ o̞ ɭ ɡ i ɭ
오스만	o̞ sʰ ɯ m a̠ n
오스뮴	o̞ sʰ ɯ m j u m
오스트랄리아	o̞ sʰ ɯ tʰ ɯ ɾ a̠ ʎ ʎ i a̠
오심	o̞ː ɕʰ i m
오얏	o̞ j a̠ t̚
오열	o̞ j ʌ̹ ɭ
오욕	o̞ː j o k̚
오음	o̞ː ɯ m
오인	o̞ i n
오작동	o̞ː d͡ʑ a̠ k̚ t͈ o̞ ŋ
오장육부	o̞ː d͡ʑ a̠ ŋ j u k̚ p͈ u
오줌통	o̞ d͡ʑ u m tʰ o̞ ŋ
오지리	o̞ d͡ʑ i ɾ i
오치레기	o̞ t͡ɕʰ i ɾ e̞ ɡ i
오크로시카	o̞ k x ɯ ɾ o̞ ɕʰ i kʰ a̠
오클라호마	o̞ k x ɯ ɭ ɭ a̠ β o̞ m a̠
오토메이션	o̞ tʰ o̞ m e̞ i ɕʰ ʌ̹ n
오판	o̞ː pʰ a̠ n
오프숄더	o̞ pʰ ɯ ɕʰ o ɭ d ʌ̹
오호	o̞ β o̞
오환	o̞ β w a̠ n
옥	o̞ k̚
옥고	o̞ k̚ k͈ o̞
옥문	o̞ ŋ m u n
옥사	o̞ k s͈ a̠
옥사졸	o̞ k s͈ a̠ d͡ʑ o̞ ɭ
옥시기	o̞ k ɕ͈ i ɡ i
옥심	o̞ k ɕ͈ i m
옥좌	o̞ k̚ t͡ɕ͈ w a̠
옥토	o̞ k̚ tʰ o̞
옥황상제	o̞ kʰ w a̠ ŋ sʰ a̠ ŋ d͡ʑ e̞
온	o̞ n
온공일	o̞ː n ɡ o̞ ŋ i ɭ
온도계	o̞ n d o̞ ɡ j e̞
온돌방	o̞ n d o̞ ɭ p͈ a̠ ŋ
온전하다	o̞ː ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠
온주밀감	o̞ ɲ d͡ʑ u m i ɭ ɡ a̠ m
온타리오	o̞ n tʰ a̠ ɾ i o̞
온화하다	o̞ n β w a̠ ɦ a̠ d a̠
올	o̞ ɭ
올리고당	o̞ ʎ ʎ i ɡ o̞ d a̠ ŋ
옮다	o̞ː m t͈ a̠
옮아가다	o̞ ɭ m a̠ ɡ a̠ d a̠
옮아오다	o̞ ɭ m a̠ o̞ d a̠
옳바르다	o̞ ɭ b a̠ ɾ ɯ d a̠
옴마이	o̞ m m a̠ i
옴쌀	o̞ m s͈ a̠ ɭ
옵션	o̞ p ɕ͈ ʌ̹ n
옷	o̞ t̚
옹	o̞ ŋ
옹기	o̞ː ŋ ɡ i
옹졸	o̞ː ŋ d͡ʑ o̞ ɭ
옹졸하다	o̞ː ŋ d͡ʑ o̞ ɾ ɦ a̠ d a̠
옹진	o̞ː ŋ d͡ʑ i n
옹호하다	o̞ː ŋ β o̞ ɦ a̠ d a̠
옻	o̞ t̚
옻나무	o̞ n n a̠ m u
와	w a̠
와가두구	w a̠ ɡ a̠ d u ɡ u
와꾸	w a̠ k͈ u
와리가리	w a̠ ɾ i ɡ a̠ ɾ i
와봐	w a̠ː b w a̠
와사삭	w a̠ sʰ a̠ sʰ a̠ k̚
와사삭와사삭	w a̠ sʰ a̠ sʰ a̠ ɡ w a̠ sʰ a̠ sʰ a̠ k̚
와삭	w a̠ sʰ a̠ k̚
와삭바삭	w a̠ sʰ a̠ k̚ p͈ a̠ sʰ a̠ k̚
와삭와삭	w a̠ sʰ a̠ ɡ w a̠ sʰ a̠ k̚
와셔	w a̠ ɕʰ ʌ̹
와싹	w a̠ s͈ a̠ k̚
와싹와싹	w a̠ s͈ a̠ ɡ w a̠ s͈ a̠ k̚
와이오밍	w a̠ i o̞ m i ŋ
와전	w a̠ d͡ʑ ʌ̹ n
와트	w a̠ tʰ ɯ
왁자그르르	w a̠ k̚ t͡ɕ͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ
왁자지껄하다	w a̠ k̚ t͡ɕ͈ a̠ d͡ʑ i k͈ ʌ̹ ɾ ɦ a̠ d a̠
왁찐	w a̠ k̚ t͡ɕ͈ i n
완고	w a̠ n ɡ o̞
완고하다	w a̠ n ɡ o̞ ɦ a̠ d a̠
완성형	w a̠ n sʰ ʌ̹ ŋ ʝ ʌ̹ ŋ
완전하다	w a̠ ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠
왈	w a̠ ɭ
왐마	w a̠ m m a̠
왕	w a̠ ŋ
왕게	w a̠ ŋ ɡ e̞
왕관비둘기	w a̠ ŋ ɡ w a̠ n b i d u ɭ ɡ i
왕녀	w a̠ ŋ ɲ ʌ̹
왕눈이	w a̠ ŋ n u n i
왕따	w a̠ ŋ t͈ a̠
왕바다리	w a̠ ŋ b a̠ d a̠ ɾ i
왕서방	w a̠ ŋ sʰ ʌ̹ b a̠ ŋ
왕수	w a̠ ŋ sʰ u
왕자병	w a̠ ŋ d͡ʑ a̠ p͈ j ʌ̹ ŋ
왕정	w a̠ ŋ d͡ʑ ʌ̹ ŋ
왕지네	w a̠ ŋ d͡ʑ i n e̞
왕홀	w a̠ ŋ β o̞ ɭ
왜	w ɛː
왜가리	w ɛː ɡ a̠ ɾ i
외	w e̞
외계인	w e̞ː ɡ j e̞ i n
외국인혐오증	w e̞ː ɡ u ɡ i n ʝ ʌ̹ m o̞ d͡ʑ ɯ ŋ
외독소	w e̞ː d o̞ k s͈ o̞
외력	w e̞ː ɾ j ʌ̹ k̚
외로움	w e̞ ɾ o̞ u m
외면하다	w e̞ː m j ʌ̹ n ɦ a̠ d a̠
외몽고	w e̞ m o̞ ŋ ɡ o̞
외무	w e̞ m u
외발자전거	w e̞ b a̠ ʎ d͡ʑ a̠ d͡ʑ ʌ̹ n ɡ ʌ̹
외설하다	w e̞ː sʰ ʌ̹ ɾ ɦ a̠ d a̠
외성	w e̞ sʰ ʌ̹ ŋ
외숙모	w e̞ sʰ u ŋ m o̞
외식하다	w e̞ː ɕʰ i kʰ a̠ d a̠
외심	w e̞ː ɕʰ i m
외우다	w e̞ u d a̠
외접원	w e̞ː d͡ʑ ʌ̹ b w ʌ̹ n
외출하다	w e̞ː t͡ɕʰ u ɾ ɦ a̠ d a̠
외침	w e̞ t͡ɕʰ i m
외퀴	w e̞ː kʰ ɥ i
외판원	w e̞ː pʰ a̠ n w ʌ̹ n
왼손	w e̞ː n sʰ o̞ n
요	j o
요관	j o ɡ w a̠ n
요람본	j o ɾ a̠ m b o̞ n
요방형근	j o b a̠ ŋ ʝ ʌ̹ ŋ ɡ ɯ n
요산요수	j o sʰ a̠ ɲ o sʰ u
요셉	j o sʰ e̞ p̚
요원	j o w ʌ̹ n
요의	j o ɰ i
요청하다	j o t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
요충	j o t͡ɕʰ u ŋ
요트	j o tʰ ɯ
욕	j o k̚
욕설	j o k s͈ ʌ̹ ɭ
용	j o ŋ
용감	j oː ŋ ɡ a̠ m
용기	j o ŋ ɡ i
용사	j oː ŋ sʰ a̠
용상	j oː ŋ sʰ a̠ ŋ
용상어	j o ŋ sʰ a̠ ŋ ʌ̹
용수철	j o ŋ sʰ u t͡ɕʰ ʌ̹ ɭ
용안	j o ŋ a̠ n
용접공	j o ŋ d͡ʑ ʌ̹ p̚ k͈ o̞ ŋ
용접하다	j o ŋ d͡ʑ ʌ̹ pʰ a̠ d a̠
우	u
우는토끼	uː n ɯ n tʰ o̞ k͈ i
우단	uː d a̠ n
우두망찰	u d u m a̠ ŋ t͡ɕʰ a̠ ɭ
우두머리	u d u m ʌ̹ ɾ i
우라누스	u ɾ a̠ n u sʰ ɯ
우란	u ɾ a̠ n
우량계	uː ɾ j a̠ ŋ ɡ j e̞
우러러보다	u ɾ ʌ̹ ɾ ʌ̹ b o̞ d a̠
우러르다	u ɾ ʌ̹ ɾ ɯ d a̠
우럭볼락	u ɾ ʌ̹ k̚ p͈ o̞ ɭ ɭ a̠ k̚
우레	u ɾ e̞
우르두어	u ɾ ɯ d u ʌ̹
우리다	u ɾ i d a̠
우모	uː m o̞
우무	u m u
우무인	u m u i n
우민	u m i n
우박	uː b a̠ k̚
우비다	u b i d a̠
우빙	u b i ŋ
우산소나무	u sʰ a̠ n sʰ o̞ n a̠ m u
우안	u a̠ n
우워치	u w ʌ̹ t͡ɕʰ i
우월	u w ʌ̹ ɭ
우유부단	u j u b u d a̠ n
우의	uː ɰ i
우인	u i n
우정	u d͡ʑ ʌ̹ ŋ
우좀	uː d͡ʑ o̞ m
우주론	u d͡ʑ u ɾ o̞ n
우주진	uː d͡ʑ u d͡ʑ i n
우즈베크어	u d͡ʑ ɯ b e̞ k x ɯ ʌ̹
우케	u kʰ e̞
우틔	u tʰ i
우파	uː pʰ a̠
우펀국	u pʰ ʌ̹ n ɡ u k̚
운검	u n ɡ ʌ̹ m
운동량	uː n d o̞ ŋ ɲ a̠ ŋ
운라	u ɭ ɭ a̠
운반	u n b a̠ n
운세	u n sʰ e̞
운영	uː ɲ ʌ̹ ŋ
운하다	u n ɦ a̠ d a̠
울	u ɭ
울렁증	u ɭ ɭ ʌ̹ ŋ t͡ɕ͈ ɯ ŋ
울창	u ʎ t͡ɕʰ a̠ ŋ
울창하다	u ʎ t͡ɕʰ a̠ ŋ ɦ a̠ d a̠
움	uː m
움직씨	u m d͡ʑ i k ɕ͈ i
움트다	u m tʰ ɯ d a̠
웁살라	u p s͈ a̠ ɭ ɭ a̠
웃돈	u t̚ t͈ o̞ n
웃어넘기다	u sʰ ʌ̹ n ʌ̹ m ɡ i d a̠
웃음소리	u sʰ ɯ m s͈ o̞ ɾ i
웃프다	u t̚ pʰ ɯ d a̠
웅크리다	u ŋ k x ɯ ɾ i d a̠
웆제서	u t̚ t͡ɕ͈ e̞ sʰ ʌ̹
워글워글	w ʌ̹ ɡ ɯ ɾ w ʌ̹ ɡ ɯ ɭ
워석워석	w ʌ̹ sʰ ʌ̹ ɡ w ʌ̹ sʰ ʌ̹ k̚
워싱톤	w ʌ̹ ɕʰ i ŋ tʰ o̞ n
워썩	w ʌ̹ s͈ ʌ̹ k̚
워썩워썩	w ʌ̹ s͈ ʌ̹ ɡ w ʌ̹ s͈ ʌ̹ k̚
워크숍	w ʌ̹ k x ɯ ɕʰ o p̚
웍	w ʌ̹ k̚
웍저그르르	w ʌ̹ k̚ t͡ɕ͈ ʌ̹ ɡ ɯ ɾ ɯ ɾ ɯ
원	w ʌ̹ n
원곡	w ʌ̹ n ɡ o̞ k̚
원동	w ʌ̹ n d o̞ ŋ
원리주의	w ʌ̹ ʎ ʎ i d͡ʑ u ɰ i
원말	w ʌ̹ n m a̠ ɭ
원반던지기	w ʌ̹ n b a̠ n d ʌ̹ ɲ d͡ʑ i ɡ i
원소	w ʌ̹ n sʰ o̞
원시림	w ʌ̹ n ɕʰ i ɾ i m
원쑤	w ʌ̹ n s͈ u
원앙사촌	w ʌ̹ n a̠ ŋ sʰ a̠ t͡ɕʰ o̞ n
원어민	w ʌ̹ n ʌ̹ m i n
원자로	w ʌ̹ ɲ d͡ʑ a̠ ɾ o̞
원주률	w ʌ̹ ɲ d͡ʑ u ɾ j u ɭ
원주율	w ʌ̹ ɲ d͡ʑ u j u ɭ
원주필	w ʌ̹ ɲ d͡ʑ u pʰ i ɭ
원지	w ʌ̹ ɲ d͡ʑ i
원추각막	w ʌ̹ ɲ t͡ɕʰ u ɡ a̠ ŋ m a̠ k̚
원화	w ʌ̹ n β w a̠
월	w ʌ̹ ɭ
